Indicator Category,Indicator Code,Indicator,Reporting Economy Code,Reporting Economy ISO3A Code,Reporting Economy,Partner Economy Code,Partner Economy ISO3A Code,Partner Economy,Product/Sector Classification Code,Product/Sector Classification,Product/Sector Code,Product/Sector,Period Code,Period,Frequency Code,Frequency,Unit Code,Unit,Year,Value Flag Code,Value Flag,Text Value,Value
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),GSOX,Memo item: Goods and commercial services,A,Annual,A,Annual,USM,Million US dollar,2020,,,,2345533.2
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),GSOX,Memo item: Goods and commercial services,A,Annual,A,Annual,USM,Million US dollar,2022,,,,3139692.2
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),GSOX,Memo item: Goods and commercial services,A,Annual,A,Annual,USM,Million US dollar,2021,E,Estimate,,3096523.5
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2020,,,,381087.7193
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2021,,,,426997.5435
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2022,,,,465052.7078
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2023,,,,551995.1067
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SA,Manufacturing services on physical inputs owned by others,A,Annual,A,Annual,USM,Million US dollar,2020,,,,500.528236
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SA,Manufacturing services on physical inputs owned by others,A,Annual,A,Annual,USM,Million US dollar,2021,,,,712.035973
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SA,Manufacturing services on physical inputs owned by others,A,Annual,A,Annual,USM,Million US dollar,2022,,,,831.811354
